"Iteration"	"posterior"	"NumSpeciation"	"numExtinction"	"numMassExtinctions"
9100	-1827.93618273969	3	1	0
9200	-1833.94527040296	3	1	2
9300	-1841.400971831	5	1	2
9400	-1844.3079811444	3	1	4
9500	-1833.87752356854	3	1	3
9600	-1834.47740894902	4	1	1
9700	-1832.97156428411	4	1	2
9800	-1829.17198912009	2	1	1
9900	-1824.9806745099	1	1	2
10000	-1833.74345009122	1	1	3
10100	-1838.73303391437	3	1	3
10200	-1829.2519817572	3	1	1
10300	-1831.00410970497	2	1	3
10400	-1820.73100138332	1	1	1
10500	-1828.96963384636	3	1	2
10600	-1822.42546410315	2	1	2
10700	-1818.58938305756	2	1	1
10800	-1829.31808345009	3	1	1
10900	-1827.24337438747	3	1	1
11000	-1824.1058975465	2	1	2
11100	-1828.71873650416	3	1	2
11200	-1839.42039349076	5	1	2
11300	-1829.16921274818	2	1	2
11400	-1839.04522493706	2	1	4
11500	-1823.39821465314	2	1	2
11600	-1829.84193875311	2	1	4
11700	-1843.84321212191	4	1	3
11800	-1857.27867944261	5	2	4
11900	-1842.00478779628	5	1	3
12000	-1823.74986362753	2	1	2
12100	-1840.402839606	5	1	2
12200	-1842.80843543099	2	1	5
12300	-1822.4825779149	2	1	2
12400	-1834.32545858431	2	1	4
12500	-1822.56504708235	2	1	1
12600	-1829.42634881591	2	1	2
12700	-1837.35203178731	1	2	4
12800	-1837.17374177318	3	2	3
12900	-1829.0052654001	1	1	3
13000	-1827.75888090771	1	1	3
13100	-1845.27148440274	2	1	6
13200	-1836.06997242574	3	1	4
13300	-1828.98156236527	2	1	3
13400	-1826.00245003178	1	1	3
13500	-1830.18610524409	1	1	3
13600	-1832.28842357873	1	1	4
13700	-1837.18469989264	3	1	2
13800	-1836.78312421595	2	1	3
13900	-1833.16814525801	2	1	3
14000	-1826.1657978474	2	1	2
14100	-1830.68406091567	1	1	3
14200	-1825.94021661049	1	1	2
14300	-1829.25353330951	1	1	3
14400	-1848.06917896451	3	1	4
14500	-1830.87420151769	2	1	1
14600	-1834.82534493509	1	2	0
14700	-1829.24590209781	2	1	2
14800	-1829.39052945557	2	1	2
14900	-1826.27720004829	1	1	3
15000	-1830.70380452017	1	1	3
15100	-1824.08027952181	1	1	2
15200	-1823.35077994517	1	1	2
15300	-1823.40550906528	1	1	2
15400	-1819.81475544678	1	1	1
