"Iteration"	"speciation"	"extinction"
2	0.192066719471129	0.186101848493295
3	0.192066719471129	0.186101848493295
4	0.192066719471129	0.186101848493295
5	0.192066719471129	0.186101848493295
6	0.210039340614157	0.203516307521893
7	0.199614011898047	0.193414750362168
8	0.199614011898047	0.193414750362168
9	0.199614011898047	0.193414750362168
10	0.199614011898047	0.193414750362168
11	0.173881051933028	0.16768179039715
12	0.232971985923015	0.226772724387137
13	0.235697215500759	0.229425437044742
14	0.178932725731184	0.173991722020942
15	0.208181506887228	0.203240503176986
16	0.184936816248255	0.180547504685926
17	0.198945312730979	0.194223521909897
18	0.23058775505868	0.225084935223886
19	0.23058775505868	0.225084935223886
20	0.162109550906344	0.15660673107155
21	0.162109550906344	0.15660673107155
22	0.184566187521732	0.178301075615318
23	0.201087130011618	0.194822018105204
24	0.201087130011618	0.194822018105204
25	0.190643147579152	0.184703430533583
26	0.190643147579152	0.184703430533583
27	0.190643147579152	0.184703430533583
28	0.190643147579152	0.184703430533583
29	0.207831539708561	0.201891822662992
30	0.197229101323048	0.19128938427748
31	0.207129150356839	0.201291741903418
32	0.181748537063443	0.176004858045311
33	0.196955895040182	0.191219746055115
34	0.186052464944644	0.180837371869349
35	0.19901987522913	0.193441302682605
36	0.185478401609383	0.180279399660456
37	0.185478401609383	0.180279399660456
38	0.200142438206411	0.194532399963308
39	0.214000631745999	0.208246372350175
40	0.213228354847772	0.207494861192505
41	0.206540117634047	0.201040766236278
42	0.215547764114958	0.210048412717189
43	0.234433334753342	0.230076364218226
44	0.234433334753342	0.230076364218226
45	0.20413640380337	0.200611077628945
46	0.20413640380337	0.200611077628945
47	0.20413640380337	0.200611077628945
48	0.20413640380337	0.200611077628945
49	0.20413640380337	0.200611077628945
50	0.20413640380337	0.200611077628945
51	0.191654486234827	0.188092754625623
52	0.191654486234827	0.188092754625623
53	0.191654486234827	0.188092754625623
54	0.196348012341009	0.192595882812003
55	0.190873371093385	0.187121241564379
56	0.190873371093385	0.187121241564379
57	0.203660237999141	0.199656748206386
58	0.203660237999141	0.199656748206386
59	0.203660237999141	0.199656748206386
60	0.192349377642408	0.188568233234449
61	0.192349377642408	0.188568233234449
62	0.192228610899349	0.188449840486569
63	0.192228610899349	0.188449840486569
64	0.215462032835779	0.211226547020488
65	0.203251304150575	0.199255853052584
66	0.247314792455093	0.243319341357102
67	0.222177435334185	0.218181984236194
68	0.203716346712595	0.200052884219533
69	0.186423279695688	0.182351570066209
70	0.203878626505439	0.199425671015426
71	0.21427769612341	0.209597612390774
72	0.183811844295252	0.179089809714729
73	0.202309186336044	0.197111964266383
74	0.201654454254989	0.19647405192586
75	0.192756101551684	0.187575699222555
76	0.212090417946214	0.206390397628984
77	0.184762606859238	0.179062586542008
78	0.209506531099311	0.202687907982896
79	0.209506531099311	0.202687907982896
80	0.209506531099311	0.202687907982896
81	0.216262840296631	0.209444217180215
82	0.216262840296631	0.209444217180215
83	0.227091915334106	0.219939347441286
84	0.227091915334106	0.219939347441286
85	0.227091915334106	0.219939347441286
86	0.19930896129668	0.193031455225077
87	0.200085117634016	0.193807611562413
88	0.200085117634016	0.193807611562413
89	0.197674891989309	0.191397385917706
90	0.197674891989309	0.191397385917706
